,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
$\beta_i$[0],16.545,1.12,14.447,18.631,0.011,0.008,9680.0,11108.0,1.0
$\beta_i$[1],0.66,0.1,0.48,0.852,0.001,0.001,9665.0,11233.0,1.0
$\beta_i$[2],1.157,0.225,0.737,1.583,0.002,0.001,14221.0,12460.0,1.0
$\tau_e$,0.226,0.296,0.0,0.759,0.002,0.002,11005.0,8242.0,1.0
$\sigma_e$,2.286,0.159,2.0,2.591,0.001,0.001,14169.0,12740.0,1.0
