,$\mu(x=2)$
0,63.70938686266882
1,59.947799820464375
2,68.58315350070924
3,61.58706770665861
4,64.12418429201679
5,70.20139100026377
6,65.57791927114756
7,63.1100676880748
8,63.978820370309435
9,64.74318440186293
10,66.9734346022392
11,65.39972409319766
12,58.07015763126848
13,66.13140789935572
14,65.95382372633091
15,66.6879658685187
16,60.77014305115835
17,62.12002114131842
18,65.78398342221364
19,60.976586060968394
20,56.60955128306645
21,58.67754910577333
22,63.68232939865758
23,63.006743008219644
24,61.57576380573828
25,61.57576380573828
26,61.597260044096544
27,55.42621914422689
28,54.33345895611739
29,75.49060968389074
30,69.32983515139256
31,63.169255962011796
32,67.76540965242278
33,62.47904156466306
34,55.487105529578145
35,63.13780960186749
36,67.6178435769224
37,66.3907123356116
38,71.37005652826878
39,68.1946201232805
40,60.236872648305344
41,68.9933049244076
42,67.56270957999423
43,67.43841934792333
44,65.82293047643384
45,62.84652660966539
46,66.40274168878759
47,64.66691939127512
48,64.98919649223727
49,61.864037926848106
50,69.38732835195185
51,67.61713632051372
52,68.76306297744289
53,62.541012029016585
54,65.20073547244897
55,65.26583851203871
56,76.87322467580924
57,63.13743769869951
58,64.58580231176062
59,64.22743742688937
60,63.268070531448636
61,65.281991504009
62,56.541199986550716
63,60.07033622484039
64,65.97828616633261
65,63.41177676882007
66,64.53677407879594
67,71.25134638854779
68,71.578095744875
69,61.344040590071565
70,60.80910628818499
71,63.74896361511157
72,67.7831752529817
73,58.30781538195443
74,69.93148773544975
75,63.94974877755081
76,64.03770723584563
77,70.16364210071836
78,60.65493207990522
79,53.72376449972
80,62.083849208021796
81,52.753004462067956
82,54.33817171344942
83,63.23247017450034
84,63.02951990133309
85,65.24776667387674
86,62.435902875047546
87,62.75086797980943
88,73.61574042052312
89,55.239389049032866
90,62.2763931577614
91,66.4042253037341
92,58.185246620326
93,63.354818199502645
94,61.7359573613833
95,59.65161677209772
96,59.75500195514201
97,57.80574905402568
98,72.60716590928601
99,60.32557298243162
100,67.12243854215446
101,61.324446499484914
102,63.14276438456328
103,64.7065623199692
104,67.25263767909357
105,67.25263767909357
106,63.406068062556365
107,55.722640555697616
108,59.41024281123418
109,62.59911058576916
110,65.35749374983945
111,65.86075927817853
112,61.76775589272293
113,73.88390869862452
114,58.97422367825131
115,60.63961598758978
116,70.11142970711867
117,64.3589285175186
118,68.80112772427037
119,71.45634087599795
120,64.51922423903062
121,65.29388995619468
122,68.71045752177069
123,69.48506467616232
124,79.9075679553407
125,60.14052485342136
126,71.53867076551838
127,71.62794046985167
128,70.05833069715081
129,61.197380654828294
130,64.26383847289287
131,62.375698266594156
132,67.51467338558578
133,60.14057316487116
134,76.27671852419238
135,62.38732015693565
136,58.15059034403215
137,61.65901110125635
138,65.98029798177717
139,67.21041376249433
140,61.30085992079117
141,67.88767603661506
142,61.71017415018957
143,59.18264703474556
144,63.19409003820885
145,65.21431508606793
146,63.208657844506114
147,63.65680253507673
148,59.247696445859965
149,57.389068868988595
150,58.887352838468196
151,59.32709377516787
152,66.3774709308294
153,55.91129693281533
154,67.70102996224837
155,59.57107800810518
156,58.977258852246926
157,66.04916756938248
158,60.607143353631066
